,Date, Open, High, Low, Close
0,2000-01-03,812.98,834.0,812.98,833.89
1,2000-01-04,834.81,837.66,829.76,832.8
2,2000-01-05,818.95,823.88,809.41,815.8
3,2000-01-06,818.41,826.62,811.62,818.43
4,2000-01-11,831.72,850.12,831.72,846.74
5,2000-01-12,847.94,863.86,844.71,869.62
6,2000-01-13,870.91,898.95,870.91,890.6
7,2000-01-14,894.05,923.63,892.9,928.24
8,2000-01-17,945.74,979.41,945.74,953.42
9,2000-01-18,954.72,966.73,940.99,949.62
10,2000-01-19,945.72,963.25,929.54,933.38
11,2000-01-20,936.73,958.27,936.73,950.86
12,2000-01-21,951.95,961.61,947.13,953.96
13,2000-01-24,956.49,962.11,950.64,954.5
14,2000-01-25,950.04,950.06,934.66,952.06
15,2000-01-26,954.47,962.1,954.47,940.95
16,2000-01-27,946.9,950.36,929.44,939.59
17,2000-01-28,942.27,945.35,932.05,935.57
18,2000-01-31,930.1,931.58,919.25,922.1
19,2000-02-02,928.89,944.3,928.89,942.85
20,2000-02-03,946.57,956.63,946.57,957.66
21,2000-02-08,970.2,988.35,970.2,979.05
22,2000-02-09,983.4,998.08,983.4,991.85
23,2000-02-10,989.03,1001.88,983.6,997.59
24,2000-02-11,1000.68,1009.48,995.21,999.81
25,2000-02-14,1000.29,1003.53,990.93,998.29
26,2000-02-15,1008.48,1017.0,990.85,995.52
27,2000-02-16,1000.81,1003.62,984.41,998.77
28,2000-02-17,999.14,1010.38,995.46,1006.82
29,2000-02-18,1016.37,1021.2,1010.48,1013.27
30,2000-02-21,1007.86,1012.26,1001.97,1007.13
31,2000-02-22,1009.83,1010.68,993.25,1000.83
32,2000-02-23,1005.6,1009.9,1001.91,1009.21
33,2000-02-24,1013.69,1014.41,1003.53,1009.53
34,2000-02-25,1013.2,1014.66,1005.73,1002.62
35,2000-02-28,993.22,1003.72,983.09,983.77
36,2000-02-29,988.93,991.94,968.54,982.24
37,2000-03-01,981.37,988.4,973.46,969.96
38,2000-03-02,970.84,970.84,943.19,941.82
39,2000-03-03,941.4,948.07,928.49,948.31
40,2000-03-06,954.58,961.68,940.63,940.49
41,2000-03-07,939.62,940.47,926.11,929.44
42,2000-03-08,913.01,935.6,905.54,930.72
43,2000-03-09,929.88,932.28,918.46,922.59
44,2000-03-10,924.55,940.77,924.55,948.09
45,2000-03-13,949.94,952.84,933.47,935.83
46,2000-03-14,935.12,935.61,927.58,932.05
47,2000-03-15,929.08,929.08,916.63,920.49
48,2000-03-17,931.45,941.2,927.41,934.78
49,2000-03-20,933.92,933.92,921.31,928.71
50,2000-03-21,928.24,941.2,924.63,939.5
51,2000-03-22,948.36,955.47,945.51,949.11
52,2000-03-23,949.07,967.88,949.07,971.19
53,2000-03-24,978.41,982.25,967.83,970.27
54,2000-03-27,971.83,987.05,971.83,988.37
55,2000-03-28,988.64,990.5,979.75,981.57
56,2000-03-29,981.46,988.17,974.43,985.13
57,2000-03-30,986.54,987.88,976.47,971.48
58,2000-03-31,970.24,974.18,965.78,974.38
