Date,Open,High,Low,Close,Volume
2017-11-30,5.6,5.65,4.9,5.01,38189898
2017-12-04,5.01,5.01,4.83,4.85,23671699
2017-12-05,4.58,4.79,4.58,4.75,20480699
2017-12-06,4.62,4.88,4.61,4.87,9799800
2017-12-07,4.94,5.21,4.91,5.16,5875400
2017-12-08,5.22,5.44,5.22,5.29,14188200
2017-12-11,5.3,5.42,5.3,5.38,8852800
2017-12-12,5.4,5.4,5.36,5.38,10465100
2017-12-13,5.38,5.4,5.35,5.38,6272000
2017-12-14,5.32,5.39,5.23,5.27,13245500
2017-12-15,5.23,5.29,5.22,5.25,23395199
2017-12-18,5.25,5.31,5.18,5.3,5521300
2017-12-19,5.3,5.31,5.25,5.3,10424400
2017-12-20,5.31,5.48,5.28,5.42,8382900
2017-12-21,5.42,5.45,5.34,5.42,7750300
2017-12-22,5.44,5.44,5.39,5.43,3595200
2017-12-26,5.43,5.5,5.42,5.44,8086500
2017-12-27,5.41,5.49,5.41,5.47,2794900
2017-12-28,5.48,5.5,5.47,5.48,5531200
2017-12-29,5.51,6.0,5.48,6.0,18295600
2018-01-02,5.57,5.58,5.48,5.49,9040300
2018-01-03,5.53,5.53,5.45,5.5,8627800
2018-01-04,5.58,5.62,5.5,5.55,9553600
2018-01-05,5.56,5.64,5.56,5.61,13017100
2018-01-08,5.61,5.66,5.59,5.61,9821100
2018-01-09,5.62,5.62,5.55,5.6,10168000
2018-01-10,5.6,5.64,5.58,5.58,5682400
2018-01-11,5.55,5.57,5.5,5.52,5714700
2018-01-12,5.55,5.57,5.5,5.53,4305200
2018-01-15,5.54,5.56,5.5,5.54,569500
2018-01-16,5.5,5.51,5.42,5.5,6422700
2018-01-17,5.43,5.52,5.43,5.5,9453700
2018-01-18,5.5,5.54,5.48,5.54,13231000
2018-01-19,5.46,5.54,5.46,5.5,9418400
2018-01-22,5.5,5.51,5.48,5.5,6230600
2018-01-23,5.47,5.54,5.47,5.51,6911500
2018-01-24,5.5,5.54,5.49,5.54,5440900
2018-01-25,5.53,5.54,5.5,5.51,4810300
2018-01-26,5.51,5.51,5.48,5.5,8515900
2018-01-29,5.5,5.52,5.48,5.5,11863900
2018-01-30,5.46,5.51,5.46,5.5,4286700
2018-02-02,5.74,5.8,5.53,5.55,9629600
2018-02-05,5.46,5.52,5.41,5.49,6398100
2018-02-06,5.4,5.47,5.36,5.46,7646400
2018-02-07,5.46,5.55,5.45,5.5,6169400
2018-02-08,5.48,5.54,5.48,5.5,2425600
2018-02-09,5.45,5.51,5.4,5.5,4017100
2018-02-12,5.51,5.59,5.51,5.57,3325800
2018-02-13,5.6,5.6,5.55,5.58,4960600
2018-02-14,5.55,5.6,5.4,5.4,4216800
2018-02-15,5.49,5.52,5.46,5.49,1140400
2018-02-19,5.5,5.59,5.5,5.54,1409800
2018-02-20,5.5,5.56,5.5,5.55,2186500
2018-02-21,5.5,5.55,5.5,5.53,5761900
2018-02-22,5.54,5.55,5.5,5.5,4461200
2018-02-23,5.52,5.57,5.51,5.52,7491300
2018-02-26,5.5,5.54,5.49,5.5,5442400
2018-02-27,5.56,5.59,5.51,5.53,5402200
2018-02-28,5.54,5.55,5.35,5.35,8282400
2018-03-01,5.36,5.5,5.36,5.5,3486900
2018-03-02,5.49,5.58,5.49,5.51,3861600
