Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.721380,3.983190,3.721380,3.964490,2.482733,4788129
2000-01-04,3.964490,4.001890,3.852290,3.889690,2.435889,3155010
2000-01-05,3.740080,3.852290,3.646580,3.758780,2.353908,6365634
2000-01-06,3.833590,3.908390,3.740080,3.833590,2.400758,3248056
2000-01-07,3.833590,3.833590,3.833590,3.833590,2.400758,0
2000-01-10,3.833590,3.833590,3.833590,3.833590,2.400758,0
2000-01-11,3.964490,4.151490,3.964490,4.114090,2.576419,6044786
2000-01-12,4.114090,4.581600,4.039290,4.525500,2.834061,7547426
2000-01-13,4.544200,4.721850,4.394600,4.432000,2.775507,9644706
2000-01-14,4.488100,4.637700,4.450700,4.619000,2.892614,10832915
2000-01-17,4.656400,5.376370,4.656400,4.955610,3.103414,25231526
2000-01-18,4.955610,5.002360,4.768610,4.908860,3.074137,6336758
2000-01-19,4.908860,5.189370,4.815360,4.955610,3.103414,14680958
2000-01-20,4.955610,5.142610,4.955610,5.142610,3.220521,9107819
2000-01-21,5.049110,5.142610,4.908860,5.002360,3.132690,3460886
2000-01-24,5.002360,5.095860,4.815360,4.955610,3.103414,3328268
2000-01-25,4.815360,4.862110,4.656400,4.768610,2.986306,6981663
2000-01-26,4.862110,5.049110,4.562900,4.619000,2.892614,7138879
2000-01-27,4.675100,4.815360,4.394600,4.656400,2.916036,8551682
2000-01-28,4.721850,4.721850,4.562900,4.581600,2.869193,3645908
2000-01-31,4.562900,4.619000,4.469400,4.600300,2.880904,2537912
2000-02-01,4.600300,4.600300,4.600300,4.600300,2.880904,0
2000-02-02,4.619000,4.721850,4.562900,4.675100,2.927747,3338963
2000-02-03,4.721850,4.815360,4.581600,4.637700,2.904325,2952876
2000-02-04,4.637700,4.637700,4.637700,4.637700,2.904325,0
2000-02-07,4.637700,4.637700,4.637700,4.637700,2.904325,0
2000-02-08,4.721850,4.721850,4.506800,4.656400,2.916036,3389230
2000-02-09,4.637700,4.675100,4.544200,4.675100,2.927747,4529311
2000-02-10,4.675100,5.049110,4.581600,4.815360,3.015583,8145274
2000-02-11,4.862110,4.955610,4.675100,4.815360,3.015583,4812728
2000-02-14,4.815360,5.236120,4.815360,5.049110,3.161968,10363407
2000-02-15,5.423120,6.358140,5.423120,5.984130,3.747518,46128389
2000-02-16,6.077630,6.077630,5.750380,5.890630,3.688963,5377421
2000-02-17,5.984130,6.077630,5.843880,5.984130,3.747518,5367795
2000-02-18,6.077630,6.171140,5.843880,5.890630,3.688963,3361423
2000-02-21,5.797130,5.890630,5.656880,5.843880,3.659686,2829884
2000-02-22,5.843880,6.124390,5.656880,5.797130,3.630409,7733518
2000-02-23,5.843880,6.077630,5.843880,5.984130,3.747518,5379560
2000-02-24,6.077630,6.124390,5.797130,5.843880,3.659686,2863038
2000-02-25,5.890630,5.890630,5.656880,5.656880,3.542579,2699405
2000-02-28,5.656880,5.750380,5.423120,5.563370,3.484019,4295092
2000-02-29,5.610120,5.703630,5.189370,5.656880,3.542579,5803080
2000-03-01,5.656880,5.703630,5.423120,5.469870,3.425466,1510127
2000-03-02,5.516620,5.516620,5.095860,5.282870,3.308358,3828792
2000-03-03,5.282870,5.703630,5.095860,5.703630,3.571856,5607362
2000-03-06,5.750380,5.797130,5.376370,5.516620,3.454742,1124039
2000-03-07,5.376370,5.423120,5.189370,5.236120,3.279081,1493015
2000-03-08,5.142610,5.376370,4.955610,5.189370,3.249805,3255543
2000-03-09,5.282870,5.282870,5.095860,5.142610,3.220521,1780709
2000-03-10,5.142610,5.329620,5.142610,5.282870,3.308358,2578552
