Date,Open,High,Low,Close,Adj Close,Volume
2017-11-30,5.600000,5.650000,4.900000,5.010000,4.863541,38194900
2017-12-01,5.010000,5.010000,5.010000,5.010000,4.863541,0
2017-12-04,5.010000,5.010000,4.830000,4.850000,4.708219,23671800
2017-12-05,4.580000,4.790000,4.580000,4.750000,4.611142,20502700
2017-12-06,4.620000,4.880000,4.610000,4.870000,4.727634,9809800
2017-12-07,4.940000,5.210000,4.910000,5.160000,5.009156,5880400
2017-12-08,5.220000,5.440000,5.220000,5.290000,5.135355,14189200
2017-12-11,5.300000,5.420000,5.300000,5.380000,5.222725,8854800
2017-12-12,5.400000,5.400000,5.360000,5.380000,5.222725,10799100
2017-12-13,5.380000,5.400000,5.350000,5.380000,5.222725,6272500
2017-12-14,5.320000,5.390000,5.230000,5.270000,5.115940,13295600
2017-12-15,5.230000,5.290000,5.220000,5.250000,5.096525,23425200
2017-12-18,5.250000,5.310000,5.180000,5.300000,5.145064,5521400
2017-12-19,5.300000,5.310000,5.250000,5.300000,5.145064,10428400
2017-12-20,5.310000,5.480000,5.280000,5.420000,5.261556,8383000
2017-12-21,5.420000,5.450000,5.340000,5.420000,5.261556,7800300
2017-12-22,5.440000,5.440000,5.390000,5.430000,5.271263,3622200
2017-12-25,5.430000,5.430000,5.430000,5.430000,5.271263,0
2017-12-26,5.430000,5.500000,5.420000,5.440000,5.280971,8247300
2017-12-27,5.410000,5.490000,5.410000,5.470000,5.310093,2795900
2017-12-28,5.480000,5.500000,5.470000,5.480000,5.319801,5533800
2017-12-29,5.510000,6.000000,5.480000,6.000000,5.824600,18298600
2018-01-02,5.570000,5.580000,5.480000,5.490000,5.329509,9040700
2018-01-03,5.530000,5.530000,5.450000,5.500000,5.339217,8927100
2018-01-04,5.580000,5.620000,5.500000,5.550000,5.387755,9554600
2018-01-05,5.560000,5.640000,5.560000,5.610000,5.446001,13017200
2018-01-08,5.610000,5.660000,5.590000,5.610000,5.446001,9821400
2018-01-09,5.620000,5.620000,5.550000,5.600000,5.436293,10186000
2018-01-10,5.600000,5.640000,5.580000,5.580000,5.416878,5694800
2018-01-11,5.550000,5.570000,5.500000,5.520000,5.358633,5714800
2018-01-12,5.550000,5.570000,5.500000,5.530000,5.368340,4306500
2018-01-15,5.540000,5.560000,5.500000,5.540000,5.378047,569700
2018-01-16,5.500000,5.510000,5.420000,5.500000,5.339217,6423000
2018-01-17,5.430000,5.520000,5.430000,5.500000,5.339217,11142400
2018-01-18,5.500000,5.540000,5.480000,5.540000,5.378047,13231100
2018-01-19,5.460000,5.540000,5.460000,5.500000,5.339217,10014400
2018-01-22,5.500000,5.510000,5.480000,5.500000,5.339217,6756300
2018-01-23,5.470000,5.540000,5.470000,5.510000,5.348925,6912200
2018-01-24,5.500000,5.540000,5.490000,5.540000,5.378047,5453900
2018-01-25,5.530000,5.540000,5.500000,5.510000,5.348925,4810400
2018-01-26,5.510000,5.510000,5.480000,5.500000,5.339217,8866900
2018-01-29,5.500000,5.520000,5.480000,5.500000,5.339217,12332500
2018-01-30,5.460000,5.510000,5.460000,5.500000,5.339217,4300300
2018-02-02,5.740000,5.800000,5.530000,5.550000,5.387755,9679600
2018-02-05,5.460000,5.520000,5.410000,5.490000,5.329509,6398400
2018-02-06,5.400000,5.470000,5.360000,5.460000,5.300386,7648200
2018-02-07,5.460000,5.550000,5.450000,5.500000,5.339217,6175100
2018-02-08,5.480000,5.540000,5.480000,5.500000,5.339217,2426400
2018-02-09,5.450000,5.510000,5.400000,5.500000,5.339217,4017400
2018-02-12,5.510000,5.590000,5.510000,5.570000,5.407171,3329800
2018-02-13,5.600000,5.600000,5.550000,5.580000,5.416878,4960800
2018-02-14,5.550000,5.600000,5.400000,5.400000,5.242140,4217300
2018-02-15,5.490000,5.520000,5.460000,5.490000,5.329509,1147900
2018-02-16,5.490000,5.490000,5.490000,5.490000,5.329509,0
2018-02-19,5.500000,5.590000,5.500000,5.540000,5.378047,1410000
2018-02-20,5.500000,5.560000,5.500000,5.550000,5.387755,2187500
2018-02-21,5.500000,5.550000,5.500000,5.530000,5.368340,5762300
2018-02-22,5.540000,5.550000,5.500000,5.500000,5.339217,4461700
2018-02-23,5.520000,5.570000,5.510000,5.520000,5.358633,7501300
2018-02-26,5.500000,5.540000,5.490000,5.500000,5.339217,5442500
2018-02-27,5.560000,5.590000,5.510000,5.530000,5.368340,5452700
2018-02-28,5.540000,5.550000,5.350000,5.350000,5.193602,8284900
2018-03-01,5.360000,5.500000,5.360000,5.500000,5.339217,3487700
2018-03-02,5.490000,5.580000,5.490000,5.510000,5.348925,3871600
2018-03-05,5.520000,5.520000,5.460000,5.520000,5.358633,4441400
2018-03-06,5.530000,5.530000,5.460000,5.510000,5.348925,4579700
2018-03-07,5.490000,5.500000,5.370000,5.440000,5.280971,4185700
2018-03-08,5.410000,5.490000,5.380000,5.460000,5.300386,2163900
2018-03-09,5.420000,5.500000,5.380000,5.450000,5.290678,1493400
2018-03-12,5.530000,5.590000,5.500000,5.560000,5.397463,5054700
2018-03-13,5.570000,5.640000,5.540000,5.600000,5.436293,4594900
2018-03-14,5.550000,5.650000,5.550000,5.560000,5.397463,6032100
2018-03-15,5.600000,5.630000,5.520000,5.520000,5.358633,3370300
2018-03-16,5.570000,5.580000,5.480000,5.480000,5.319801,14236000
2018-03-19,5.520000,5.520000,5.500000,5.500000,5.339217,4617200
2018-03-20,5.500000,5.600000,5.420000,5.600000,5.436293,2264700
2018-03-21,5.600000,5.610000,5.570000,5.590000,5.426586,4778700
2018-03-22,5.520000,5.600000,5.520000,5.600000,5.436293,1816900
2018-03-23,5.500000,5.640000,5.500000,5.640000,5.475124,1556100
2018-03-26,5.600000,5.600000,5.540000,5.580000,5.416878,1734400
2018-03-27,5.580000,5.590000,5.570000,5.590000,5.426586,2064000
2018-03-28,5.500000,5.580000,5.500000,5.520000,5.358633,2405400
2018-03-29,5.520000,5.540000,5.500000,5.500000,5.339217,3732600
2018-03-30,5.460000,5.530000,5.460000,5.520000,5.358633,2841400
2018-04-02,5.500000,5.550000,5.500000,5.530000,5.368340,655400
2018-04-03,5.500000,5.550000,5.490000,5.540000,5.378047,856400
2018-04-04,5.530000,5.540000,5.490000,5.510000,5.348925,1848200
2018-04-05,5.510000,5.520000,5.500000,5.500000,5.339217,6298500
2018-04-06,5.500000,5.510000,5.450000,5.500000,5.339217,2284200
2018-04-09,5.480000,5.580000,5.460000,5.520000,5.358633,1042500
2018-04-10,5.500000,5.800000,5.500000,5.800000,5.630447,1916400
2018-04-11,5.740000,5.740000,5.570000,5.630000,5.465416,3173300
2018-04-12,5.540000,5.640000,5.540000,5.590000,5.426586,3755600
2018-04-13,5.550000,5.630000,5.550000,5.590000,5.426586,4431000
2018-04-16,5.640000,5.640000,5.560000,5.640000,5.475124,1710500
2018-04-17,5.510000,5.640000,5.510000,5.600000,5.436293,2642100
2018-04-18,5.550000,5.600000,5.530000,5.600000,5.470484,1231100
2018-04-19,5.610000,5.650000,5.540000,5.600000,5.470484,2579700
2018-04-20,5.600000,5.630000,5.490000,5.520000,5.392334,4871100
2018-04-23,5.530000,5.570000,5.500000,5.570000,5.441178,2543900
2018-04-24,5.530000,5.620000,5.520000,5.540000,5.411872,4469600
2018-04-25,5.520000,5.520000,5.490000,5.500000,5.372797,3606200
2018-04-26,5.510000,5.580000,5.510000,5.560000,5.431409,2871500
2018-04-27,5.510000,5.570000,5.460000,5.560000,5.431409,2277400
2018-04-30,5.560000,5.600000,5.490000,5.570000,5.441178,5940400
2018-05-02,5.550000,5.580000,5.470000,5.490000,5.363028,2804700
2018-05-03,5.500000,5.520000,5.470000,5.510000,5.382565,3306700
2018-05-04,5.470000,5.500000,5.470000,5.490000,5.363028,2868900
2018-05-07,5.460000,5.470000,5.430000,5.460000,5.333722,1819200
2018-05-08,5.430000,5.470000,5.430000,5.440000,5.314185,3981000
2018-05-14,5.330000,5.540000,5.320000,5.450000,5.323954,4554800
2018-05-15,5.500000,5.570000,5.460000,5.510000,5.382565,4701400
